jobid,channel,base_channel,m_a_GeV,g_agg_GeV_inv,sqrt_s_GeV,observable,n_generated,n_observable_values,observable_selected_fraction,n_analysis_selected,analysis_bin_acceptance_fraction,full_analysis_selected_fraction,analytic_region_probability,conditional_detector_efficiency,flat_detector_efficiency,detector_correction_factor,sigma_pb,luminosity_pb_inv,expected_selected_events_full_analysis,required_selected_events_full_shape,equivalent_background_events_full_shape,binned_sensitivity_denominator,full_analysis_strength_ratio,projection_required_events_gaussian,expected_selected_events_flat_model,flat_model_strength_ratio,projection_limit_method,delphes_root
0,invisible_lower,invisible,0.01,4.76470089365e-07,91.2,recoil_energy_GeV,10000,9840,0.984,9840,1.0,0.984,0.9999999968628872,0.9840000030869189,0.9826744374724365,1.0013489367016526,5.375616663878495e-08,150000000.0,7.9344101958846585,6.8620303262890054,17.375446567863467,0.057552477635282026,1.1562773433814884,10.70808136427202,7.923721597008775,0.7399758488431567,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job0_m0p01_g4p76470089365em07_s91p2_IDEA/delphes.root
1,invisible_lower,invisible,0.0105148957685,4.76470091614e-07,91.2,recoil_energy_GeV,10000,9837,0.9837,9837,1.0,0.9837,0.9999999961651355,0.9837000037723562,0.9826744374724365,1.0010436480901626,5.375616694144821e-08,150000000.0,7.93199121304539,6.848310107643566,17.30603370127418,0.05778331518714041,1.158240659136084,10.70808136427202,7.9237216360929015,0.739975852493122,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job1_m0p0105148957685_g4p76470091614em07_s91p2_IDEA/delphes.root
2,invisible_lower,invisible,0.0110563033023,4.76470094119e-07,91.2,recoil_energy_GeV,10000,9815,0.9815,9815,1.0,0.9815,0.9999999953121909,0.9815000046010848,0.9826744374724365,0.9988048606674124,5.375616728024216e-08,150000000.0,7.914251727833652,6.857587154040783,17.35295261079896,0.057627080672005504,1.154086933210938,10.708081378734471,7.923721679273029,0.739975855526183,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job2_m0p0110563033023_g4p76470094119em07_s91p2_IDEA/delphes.root
3,invisible_lower,invisible,0.011625587681,4.76470096913e-07,91.2,recoil_energy_GeV,10000,9828,0.9828,9828,1.0,0.9828,0.9999999942695356,0.9828000056319005,0.9826744374724365,1.0001277820554557,5.375616766032784e-08,150000000.0,7.92473423648553,6.831430194256555,17.2208260143912,0.05806922380867875,1.1600402860221213,10.708081378734471,7.92372172703639,0.7399758599866796,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job3_m0p011625587681_g4p76470096913em07_s91p2_IDEA/delphes.root
4,invisible_lower,invisible,0.0122241842713,4.76470100031e-07,91.2,recoil_energy_GeV,10000,9838,0.9838,9838,1.0,0.9838,0.9999999929949747,0.983800006891544,0.9826744374724365,1.0011454143673488,5.375616808707616e-08,150000000.0,7.932797724609828,6.871478123334571,17.423325313455937,0.05739432525131729,1.1544528822221183,10.708081394724594,7.923721779840323,0.7399758638129139,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job4_m0p0122241842713_g4p76470100031em07_s91p2_IDEA/delphes.root
5,invisible_lower,invisible,0.0128536023469,4.76470103514e-07,91.2,recoil_energy_GeV,10000,9831,0.9831,9831,1.0,0.9831,0.9999999914369277,0.9831000084183564,0.9826744374724365,1.000433074200052,5.375616856694503e-08,150000000.0,7.927153397724548,6.920768174108723,17.674181594005972,0.05657970609168915,1.1454152484663207,10.708081394724594,7.9237218382280235,0.73997586926559,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job5_m0p0128536023469_g4p76470103514em07_s91p2_IDEA/delphes.root
6,invisible_lower,invisible,0.0135154288928,4.76470107408e-07,91.2,recoil_energy_GeV,10000,9852,0.9852,9852,1.0,0.9852,0.9999999895323425,0.9852000103127363,0.9826744374724365,1.0025701012909176,5.375616910722546e-08,150000000.0,7.944086670665778,6.865142693430296,17.391211882346635,0.05750030571561686,1.1571626440143763,10.708081412403756,7.9237219027745835,0.7399758740717178,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job6_m0p0135154288928_g4p76470107408em07_s91p2_IDEA/delphes.root
7,invisible_lower,invisible,0.0142113326075,4.76470111767e-07,91.2,recoil_energy_GeV,10000,9832,0.9832,9832,1.0,0.9832,0.9999999872041423,0.9832000125808874,0.9826744374724365,1.0005348415389768,5.375616971668742e-08,150000000.0,7.92795990981706,6.815079736591075,17.138491445053237,0.05834819261695489,1.163296720836703,10.708081412403756,7.9237219741619755,0.7399758807384015,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job7_m0p0142113326075_g4p76470111767em07_s91p2_IDEA/delphes.root
8,invisible_lower,invisible,0.01494306811,4.76470116651e-07,91.2,recoil_energy_GeV,10000,9822,0.9822,9822,1.0,0.9822,0.9999999843581074,0.9822000153634671,0.9826744374724365,0.9995172133405752,5.375617040509399e-08,150000000.0,7.919896585782498,6.834233408053297,17.23496172536966,0.05802159679461379,1.1588566138888206,10.708081431950374,7.923722053082716,0.7399758867578471,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job8_m0p01494306811_g4p76470116651em07_s91p2_IDEA/delphes.root
9,invisible_lower,invisible,0.0157124803639,4.76470122131e-07,91.2,recoil_energy_GeV,10000,9843,0.9843,9843,1.0,0.9843,0.9999999808790618,0.9843000188207397,0.9826744374724365,1.001654242021889,5.375617118429154e-08,150000000.0,7.936829894504723,6.864388484639768,17.387390873821055,0.057512941835662544,1.1562326217790155,10.708081431950374,7.923722140370349,0.7399758949094132,binned_delta_chi2_with_3_event_floor,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job9_m0p0157124803639_g4p76470122131em07_s91p2_IDEA/delphes.root
