jobid,channel,base_channel,m_a_GeV,g_agg_GeV_inv,sqrt_s_GeV,n_generated,n_selected,selected_fraction,analytic_region_probability,flat_detector_efficiency,analytic_selected_fraction,detector_correction_factor,delphes_root
0,invisible_lower,invisible,0.01,4.76470089365e-07,91.2,10000,9762,0.9762,0.9999999968628872,0.9826744374724365,0.9826744343896759,0.9934114146424322,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job0_m0p01_g4p76470089365em07_s91p2_IDEA/delphes.root
1,invisible_lower,invisible,0.0105148957685,4.76470091614e-07,91.2,10000,9735,0.9735,0.9999999961651355,0.9826744374724365,0.9826744337040132,0.9906638115439396,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job1_m0p0105148957685_g4p76470091614em07_s91p2_IDEA/delphes.root
2,invisible_lower,invisible,0.0110563033023,4.76470094119e-07,91.2,10000,9732,0.9732,0.9999999953121909,0.9826744374724365,0.9826744328658463,0.9903585230784774,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job2_m0p0110563033023_g4p76470094119em07_s91p2_IDEA/delphes.root
3,invisible_lower,invisible,0.011625587681,4.76470096913e-07,91.2,10000,9740,0.974,0.9999999942695356,0.9826744374724365,0.9826744318412556,0.991172628939778,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job3_m0p011625587681_g4p76470096913em07_s91p2_IDEA/delphes.root
4,invisible_lower,invisible,0.0122241842713,4.76470100031e-07,91.2,10000,9735,0.9735,0.9999999929949747,0.9826744374724365,0.9826744305887772,0.9906638146845032,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job4_m0p0122241842713_g4p76470100031em07_s91p2_IDEA/delphes.root
5,invisible_lower,invisible,0.0128536023469,4.76470103514e-07,91.2,10000,9744,0.9744,0.9999999914369277,0.9826744374724365,0.9826744290577243,0.9915796841628834,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job5_m0p0128536023469_g4p76470103514em07_s91p2_IDEA/delphes.root
6,invisible_lower,invisible,0.0135154288928,4.76470107408e-07,91.2,10000,9759,0.9759,0.9999999895323425,0.9826744374724365,0.9826744271861371,0.9931061326124712,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job6_m0p0135154288928_g4p76470107408em07_s91p2_IDEA/delphes.root
7,invisible_lower,invisible,0.0142113326075,4.76470111767e-07,91.2,10000,9756,0.9756,0.9999999872041423,0.9826744374724365,0.9826744248982743,0.9928008456117023,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job7_m0p0142113326075_g4p76470111767em07_s91p2_IDEA/delphes.root
8,invisible_lower,invisible,0.01494306811,4.76470116651e-07,91.2,10000,9724,0.9724,0.9999999843581074,0.9826744374724365,0.9826744221015485,0.9895444290901807,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job8_m0p01494306811_g4p76470116651em07_s91p2_IDEA/delphes.root
9,invisible_lower,invisible,0.0157124803639,4.76470122131e-07,91.2,10000,9773,0.9773,0.9999999808790618,0.9826744374724365,0.9826744186827794,0.994530824675396,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job9_m0p0157124803639_g4p76470122131em07_s91p2_IDEA/delphes.root
10,invisible_lower,invisible,0.0165215093291,4.76470128286e-07,91.2,10000,9732,0.9732,0.9999999766262123,0.9826744374724365,0.9826744145036129,0.9903585415842959,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job10_m0p0165215093291_g4p76470128286em07_s91p2_IDEA/delphes.root
11,invisible_lower,invisible,0.0173721948535,4.7647013521e-07,91.2,10000,9747,0.9747,0.9999999714274503,0.9826744374724365,0.9826744093949223,0.9918849933216104,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job11_m0p0173721948535_g4p7647013521em07_s91p2_IDEA/delphes.root
12,invisible_lower,invisible,0.0182666818155,4.76470143011e-07,91.2,10000,9748,0.9748,0.9999999650723876,0.9826744374724365,0.9826744031499647,0.9919867627316604,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job12_m0p0182666818155_g4p76470143011em07_s91p2_IDEA/delphes.root
13,invisible_lower,invisible,0.0192072255327,4.76470151812e-07,91.2,10000,9748,0.9748,0.9999999573038414,0.9826744374724365,0.9826743955160129,0.9919867704379558,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job13_m0p0192072255327_g4p76470151812em07_s91p2_IDEA/delphes.root
14,invisible_lower,invisible,0.020196197448,4.7647016176e-07,91.2,10000,9742,0.9742,0.9999999478074267,0.9826744374724365,0.982674386184129,0.9913762012083817,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job14_m0p020196197448_g4p7647016176em07_s91p2_IDEA/delphes.root
15,invisible_lower,invisible,0.0212360911087,4.76470173024e-07,91.2,10000,9761,0.9761,0.9999999361988338,0.9826744374724365,0.9826743747766614,0.9933097117973025,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job15_m0p0212360911087_g4p76470173024em07_s91p2_IDEA/delphes.root
16,invisible_lower,invisible,0.0223295284539,4.76470185801e-07,91.2,10000,9716,0.9716,0.9999999220082746,0.9826744374724365,0.9826743608319617,0.9887303859005889,/data/alice/ipardoza/Axions/results/alp_full_production/fccee_z_full_projection_fullbg_channelaware/cluster_4797476/job16_m0p0223295284539_g4p76470185801em07_s91p2_IDEA/delphes.root
