m_a_GeV,g_agg_GeV_inv,sqrt_s_GeV,ell_a_m,dtheta_min_rad,dtheta_min_deg,is_resolved,signature
0.01,1e-08,91.2,1809177401241.9338,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.0942237711543928e-08,91.2,1511015306552.3953,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.1973256613593385e-08,91.2,1261991916916.6765,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.3101422004725428e-08,91.2,1054008911396.686,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.4335887393495772e-08,91.2,880302615580.8429,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.5686668766555662e-08,91.2,735224044710.9628,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.7164725854590364e-08,91.2,614055196876.2218,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.8782051055441137e-08,91.2,512855622069.5034,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.0551766735899143e-08,91.2,428334277482.4112,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.248823170164092e-08,91.2,357742501731.8337,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.4607157699163296e-08,91.2,298784627505.33844,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.6925736894969312e-08,91.2,249543325719.85803,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.946278136632423e-08,91.2,208417253361.58664,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.2238875735356674e-08,91.2,174068977294.75497,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.527654418491975e-08,91.2,145381480504.75488,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.860043321131745e-08,91.2,121421836344.59251,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.2237511596681054e-08,91.2,101410869459.47566,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.621728922349764e-08,91.2,84697816752.9984,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,5.0572056506668873e-08,91.2,70739164361.38164,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,5.533714638576026e-08,91.2,59080972407.34861,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,6.055122100314914e-08,91.2,49344112728.92405,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,6.625658539406892e-08,91.2,41211939509.341995,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,7.249953073371101e-08,91.2,34419991852.971436,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,7.933070992636506e-08,91.2,28747393431.703392,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,8.68055485839824e-08,91.2,24009669515.531868,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,9.498469472869089e-08,91.2,20052747794.842583,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.0393451086797692e-07,91.2,16747947899.217669,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.1372761243504492e-07,91.2,13987796670.292263,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.244434569630598e-07,91.2,11682533099.985329,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.3616898877360868e-07,91.2,9757189273.569881,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.4899934441013796e-07,91.2,8149152388.910169,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.6303862453999334e-07,91.2,6806128567.943931,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.7840073858797664e-07,91.2,5684442242.903935,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.952103289544644e-07,91.2,4747615812.76921,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.136037823168436e-07,91.2,3965183379.9161825,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.3373033621957811e-07,91.2,3311699989.303219,0.0004385964859548553,0.025129727554482097,False,invisible
